"Дата";"Регион название";"БольныеНаНаселение"
09.03.2020;Алтайский край;0
09.03.2020;Амурская область;0
09.03.2020;Архангельская область;0
09.03.2020;Астраханская область;0
09.03.2020;Белгородская область;0.00006452129073551691
09.03.2020;Брянская область;0
09.03.2020;Владимирская область;0
09.03.2020;Волгоградская область;0
09.03.2020;Вологодская область;0
09.03.2020;Воронежская область;0
09.03.2020;Еврейская автономная область;0
09.03.2020;Забайкальский край;0
09.03.2020;Ивановская область;0
09.03.2020;Иркутская область;0
09.03.2020;Кабардино-Балкарская Республика;0
09.03.2020;Калининградская область;0.0002513575823020132
09.03.2020;Калужская область;0
09.03.2020;Камчатский край;0
09.03.2020;Карачаево-Черкесская Республика;0
09.03.2020;Кемеровская область (Кузбасс);0.00003710744497800827
09.03.2020;Кировская область;0
09.03.2020;Костромская область;0
09.03.2020;Краснодарский край;0.000017846243901046147
09.03.2020;Красноярский край;0
09.03.2020;Курганская область;0
09.03.2020;Курская область;0
09.03.2020;Ленинградская область;0.000041349287910129805
09.03.2020;Липецкая область;0.0002608239777221547
09.03.2020;Магаданская область;0
09.03.2020;Москва;0.0002318800160045186
09.03.2020;Московская область;0.00007996390962212389
09.03.2020;Мурманская область;0
09.03.2020;Нижегородская область;0.00003091427101675801
09.03.2020;Новгородская область;0
09.03.2020;Новосибирская область;0
09.03.2020;Омская область;0
09.03.2020;Оренбургская область;0
09.03.2020;Орловская область;0
09.03.2020;Пензенская область;0
09.03.2020;Пермский край;0.000028591884022169006
09.03.2020;Приморский край;0
09.03.2020;Псковская область;0
09.03.2020;Республика Адыгея;0
09.03.2020;Республика Башкортостан;0
09.03.2020;Республика Бурятия;0
09.03.2020;Республика Дагестан;0
09.03.2020;Республика Ингушетия;0
09.03.2020;Республика Калмыкия;0
09.03.2020;Республика Карелия;0
09.03.2020;Республика Коми;0
09.03.2020;Республика Крым;0
09.03.2020;Республика Марий Эл;0
09.03.2020;Республика Мордовия;0
09.03.2020;Республика Саха (Якутия);0
09.03.2020;Республика Северная Осетия — Алания;0
09.03.2020;Республика Татарстан;0
09.03.2020;Республика Тыва;0
09.03.2020;Республика Хакасия;0
09.03.2020;Ростовская область;0
09.03.2020;Рязанская область;0
09.03.2020;Самарская область;0
09.03.2020;Санкт-Петербург;0.00006539690784734867
09.03.2020;Саратовская область;0
09.03.2020;Сахалинская область;0
09.03.2020;Свердловская область;0
09.03.2020;Севастополь;0
09.03.2020;Смоленская область;0
09.03.2020;Ставропольский край;0
09.03.2020;Тамбовская область;0
09.03.2020;Тверская область;0
09.03.2020;Томская область;0
09.03.2020;Тульская область;0
09.03.2020;Тюменская область;0
09.03.2020;Удмуртская Республика;0
09.03.2020;Ульяновская область;0
09.03.2020;Хабаровский край;0
09.03.2020;Ханты-Мансийский автономный округ - Югра;0
09.03.2020;Челябинская область;0
09.03.2020;Чеченская Республика;0
09.03.2020;Чувашская Республика;0
09.03.2020;Ямало-Ненецкий автономный округ;0
09.03.2020;Ярославская область;0
16.03.2020;Алтайский край;0
16.03.2020;Амурская область;0
16.03.2020;Архангельская область;0.00009000648946789064
16.03.2020;Астраханская область;0
16.03.2020;Белгородская область;0.00006452129073551691
16.03.2020;Брянская область;0.000011796801509613095
16.03.2020;Владимирская область;0
16.03.2020;Волгоградская область;0
16.03.2020;Вологодская область;0
16.03.2020;Воронежская область;0.00004897046933787518
16.03.2020;Еврейская автономная область;0
16.03.2020;Забайкальский край;0
16.03.2020;Ивановская область;0.00005631802337254288
16.03.2020;Иркутская область;0
16.03.2020;Кабардино-Балкарская Республика;0.00006599793162482288
16.03.2020;Калининградская область;0.0005314417454385422
16.03.2020;Калужская область;0.00008468485659748667
16.03.2020;Камчатский край;0
16.03.2020;Карачаево-Черкесская Республика;0
16.03.2020;Кемеровская область (Кузбасс);0.00007421488995601655
16.03.2020;Кировская область;0.0002560487053620829
16.03.2020;Костромская область;0
16.03.2020;Краснодарский край;0.000048439804874268114
16.03.2020;Красноярский край;0.00009932716276578274
16.03.2020;Курганская область;0.00003379086730850166
16.03.2020;Курская область;0
16.03.2020;Ленинградская область;0.00005513238388017308
16.03.2020;Липецкая область;0.00014904227298408835
16.03.2020;Магаданская область;0
16.03.2020;Москва;0.0008292851803905444
16.03.2020;Московская область;0.00025702685235682676
16.03.2020;Мурманская область;0.00007583083581315965
16.03.2020;Ненецкий автономный округ;0
16.03.2020;Нижегородская область;0.00011040811077413575
16.03.2020;Новгородская область;0.00002355528377992581
16.03.2020;Новосибирская область;0.00007683661406039347
16.03.2020;Омская область;0
16.03.2020;Оренбургская область;0.00002889329993267861
16.03.2020;Орловская область;0
16.03.2020;Пензенская область;0.00006436673591454672
16.03.2020;Пермский край;0.00009802931664743659
16.03.2020;Приморский край;0
16.03.2020;Псковская область;0
16.03.2020;Республика Адыгея;0
16.03.2020;Республика Алтай;0
16.03.2020;Республика Башкортостан;0
16.03.2020;Республика Бурятия;0
16.03.2020;Республика Дагестан;0
16.03.2020;Республика Ингушетия;0
16.03.2020;Республика Калмыкия;0
16.03.2020;Республика Карелия;0
16.03.2020;Республика Коми;0.00011892402300941999
16.03.2020;Республика Крым;0.0000149296994046857
16.03.2020;Республика Марий Эл;0
16.03.2020;Республика Мордовия;0
16.03.2020;Республика Саха (Якутия);0.00032591095816340284
16.03.2020;Республика Северная Осетия — Алания;0
16.03.2020;Республика Татарстан;0.00005869408306415983
16.03.2020;Республика Тыва;0
16.03.2020;Республика Хакасия;0.00015946458172041552
16.03.2020;Ростовская область;0
16.03.2020;Рязанская область;0.00007643002487287776
16.03.2020;Самарская область;0.00020130086884139004
16.03.2020;Санкт-Петербург;0.00018150978504570244
16.03.2020;Саратовская область;0.000023200981401513283
16.03.2020;Сахалинская область;0
16.03.2020;Свердловская область;0.00010569151447749153
16.03.2020;Севастополь;0
16.03.2020;Смоленская область;0
16.03.2020;Ставропольский край;0.000010201625955548047
16.03.2020;Тамбовская область;0.00019350743842593308
16.03.2020;Тверская область;0.0001780327404435085
16.03.2020;Томская область;0.00006624306435116243
16.03.2020;Тульская область;0.00015321289841936956
16.03.2020;Тюменская область;0.00009531568220340881
16.03.2020;Удмуртская Республика;0.000018883408923619255
16.03.2020;Ульяновская область;0.00003437872937591375
16.03.2020;Хабаровский край;0.0001505681689856674
16.03.2020;Ханты-Мансийский автономный округ - Югра;0.00005178879356106477
16.03.2020;Челябинская область;0.000008179540254216839
16.03.2020;Чеченская Республика;0
16.03.2020;Чувашская Республика;0.000046415456161239866
16.03.2020;Чукотский автономный округ;0
16.03.2020;Ямало-Ненецкий автономный округ;0
16.03.2020;Ярославская область;0.00006772171072264935
23.03.2020;Алтайский край;0
23.03.2020;Амурская область;0.000017892390867151146
23.03.2020;Архангельская область;0.0002443033285557031
23.03.2020;Астраханская область;0
23.03.2020;Белгородская область;0.0000737386179834479
23.03.2020;Брянская область;0.00016515522113458333
23.03.2020;Владимирская область;0
23.03.2020;Волгоградская область;0.00008499097849093644
23.03.2020;Вологодская область;0
23.03.2020;Воронежская область;0.0002326097293549071
23.03.2020;Еврейская автономная область;0
23.03.2020;Забайкальский край;0
23.03.2020;Ивановская область;0.0002815901168627144
23.03.2020;Иркутская область;0.00000594199484056588
23.03.2020;Кабардино-Балкарская Республика;0.0003959875897489373
23.03.2020;Калининградская область;0.0007899809729491843
23.03.2020;Калужская область;0.0001834838559612211
23.03.2020;Камчатский край;0
23.03.2020;Карачаево-Черкесская Республика;0
23.03.2020;Кемеровская область (Кузбасс);0.00005831169925115586
23.03.2020;Кировская область;0.000545495067945307
23.03.2020;Костромская область;0.00004441219132416725
23.03.2020;Краснодарский край;0.00017846243901046147
23.03.2020;Красноярский край;0.00018375525111669804
23.03.2020;Курганская область;0.00011826803557975583
23.03.2020;Курская область;0
23.03.2020;Ленинградская область;0.00022840559036071704
23.03.2020;Липецкая область;0.00023598359889147325
23.03.2020;Магаданская область;0
23.03.2020;Москва;0.004469687205052618
23.03.2020;Московская область;0.0006854049396182047
23.03.2020;Мурманская область;0.00017061938057960922
23.03.2020;Ненецкий автономный округ;0
23.03.2020;Нижегородская область;0.00024289784370309863
23.03.2020;Новгородская область;0.0002119975540193323
23.03.2020;Новосибирская область;0.0001895303146823039
23.03.2020;Омская область;0.00002186498560883089
23.03.2020;Оренбургская область;0.00018058312457924132
23.03.2020;Орловская область;0.0002867669114572749
23.03.2020;Пензенская область;0.00018237241842454906
23.03.2020;Пермский край;0.0002886418767952299
23.03.2020;Приморский край;0.00008961069306478204
23.03.2020;Псковская область;0.0006283913495646818
23.03.2020;Республика Адыгея;0.00006301927885778818
23.03.2020;Республика Алтай;0
23.03.2020;Республика Башкортостан;0.00008437913358872788
23.03.2020;Республика Бурятия;0.0002902093381529366
23.03.2020;Республика Дагестан;0.000013987843165504859
23.03.2020;Республика Ингушетия;0
23.03.2020;Республика Калмыкия;0
23.03.2020;Республика Карелия;0
23.03.2020;Республика Коми;0.0003567720690282599
23.03.2020;Республика Крым;0.00044789098214057107
23.03.2020;Республика Марий Эл;0
