"Дата";"Регион название";"Больные";"Заражений";"Выздоровлений";"Выздоровлений за день";"Смертей";"Смертей за день";"Заражений за день";"Регион население"
09.03.2020;Алтайский край;0;0;0;0;0;0;0;9400320
09.03.2020;Амурская область;0;0;0;0;0;0;0;3193696
09.03.2020;Архангельская область;0;0;0;0;0;0;0;4444124
09.03.2020;Астраханская область;0;0;0;0;0;0;0;4070056
09.03.2020;Белгородская область;4;4;0;0;0;0;1;6199504
09.03.2020;Брянская область;0;0;0;0;0;0;0;4843928
09.03.2020;Владимирская область;0;0;0;0;0;0;0;5513348
09.03.2020;Волгоградская область;0;0;0;0;0;0;0;10085104
09.03.2020;Вологодская область;0;0;0;0;0;0;0;4706756
09.03.2020;Воронежская область;0;0;0;0;0;0;0;9335072
09.03.2020;Еврейская автономная область;0;0;0;0;0;0;0;648056
09.03.2020;Забайкальский край;0;0;0;0;0;0;0;4291224
09.03.2020;Ивановская область;0;0;0;0;0;0;0;4058584
09.03.2020;Иркутская область;0;0;0;0;0;0;0;9616780
09.03.2020;Кабардино-Балкарская Республика;0;0;0;0;0;0;0;3463312
09.03.2020;Калининградская область;10;10;0;0;0;0;3;3978396
09.03.2020;Калужская область;0;0;0;0;0;0;0;4048624
09.03.2020;Камчатский край;0;0;0;0;0;0;0;1262228
09.03.2020;Карачаево-Черкесская Республика;0;0;0;0;0;0;0;1865220
09.03.2020;Кемеровская область (Кузбасс);4;4;0;0;0;0;2;10779508
09.03.2020;Кировская область;0;0;0;0;0;0;0;5132952
09.03.2020;Костромская область;0;0;0;0;0;0;0;2573296
09.03.2020;Краснодарский край;4;4;0;0;0;0;1;22413680
09.03.2020;Красноярский край;0;0;0;0;0;0;0;11505988
09.03.2020;Курганская область;0;0;0;0;0;0;0;3382148
09.03.2020;Курская область;0;0;0;0;0;0;0;4460948
09.03.2020;Ленинградская область;3;3;0;0;0;0;1;7255264
09.03.2020;Липецкая область;12;12;0;0;0;0;3;4600804
09.03.2020;Магаданская область;0;0;0;0;0;0;0;576364
09.03.2020;Москва;116;117;1;1;0;0;35;50025872
09.03.2020;Московская область;24;24;0;0;0;0;9;30013540
09.03.2020;Мурманская область;0;0;0;0;0;0;0;3014228
09.03.2020;Нижегородская область;4;4;0;0;0;0;1;12939008
09.03.2020;Новгородская область;0;0;0;0;0;0;0;2425904
09.03.2020;Новосибирская область;0;0;0;0;0;0;0;11155396
09.03.2020;Омская область;0;0;0;0;0;0;0;7840324
09.03.2020;Оренбургская область;0;0;0;0;0;0;0;7910880
09.03.2020;Орловская область;0;0;0;0;0;0;0;2988988
09.03.2020;Пензенская область;0;0;0;0;0;0;0;5326620
09.03.2020;Пермский край;3;3;0;0;0;0;1;10492488
09.03.2020;Приморский край;0;0;0;0;0;0;0;7652148
09.03.2020;Псковская область;0;0;0;0;0;0;0;2546184
09.03.2020;Республика Адыгея;0;0;0;0;0;0;0;1813504
09.03.2020;Республика Башкортостан;0;0;0;0;0;0;0;16253172
09.03.2020;Республика Бурятия;0;0;0;0;0;0;0;3938044
09.03.2020;Республика Дагестан;0;0;0;0;0;0;0;12255540
09.03.2020;Республика Ингушетия;0;0;0;0;0;0;0;1952172
09.03.2020;Республика Калмыкия;0;0;0;0;0;0;0;1101652
09.03.2020;Республика Карелия;0;0;0;0;0;0;0;2489936
09.03.2020;Республика Коми;0;0;0;0;0;0;0;3363492
09.03.2020;Республика Крым;0;0;0;0;0;0;0;7654924
09.03.2020;Республика Марий Эл;0;0;0;0;0;0;0;2729332
09.03.2020;Республика Мордовия;0;0;0;0;0;0;0;3220224
09.03.2020;Республика Саха (Якутия);0;0;0;0;0;0;0;3857320
09.03.2020;Республика Северная Осетия — Алания;0;0;0;0;0;0;0;2807060
09.03.2020;Республика Татарстан;0;0;0;0;0;0;0;15577136
09.03.2020;Республика Тыва;0;0;0;0;0;0;0;1286888
09.03.2020;Республика Хакасия;0;0;0;0;0;0;0;2150052
09.03.2020;Ростовская область;0;0;0;0;0;0;0;16881808
09.03.2020;Рязанская область;0;0;0;0;0;0;0;4485896
09.03.2020;Самарская область;0;0;0;0;0;0;0;12774056
09.03.2020;Санкт-Петербург;14;15;1;1;0;0;5;21407740
09.03.2020;Саратовская область;0;0;0;0;0;0;0;9851800
09.03.2020;Сахалинская область;0;0;0;0;0;0;0;1960724
09.03.2020;Свердловская область;0;0;0;0;0;0;0;17301024
09.03.2020;Севастополь;0;0;0;0;0;0;0;1746680
09.03.2020;Смоленская область;0;0;0;0;0;0;0;3797392
09.03.2020;Ставропольский край;0;0;0;0;0;0;0;11202696
09.03.2020;Тамбовская область;0;0;0;0;0;0;0;4134208
09.03.2020;Тверская область;0;0;0;0;0;0;0;5135492
09.03.2020;Томская область;0;0;0;0;0;0;0;4313120
09.03.2020;Тульская область;0;0;0;0;0;0;0;5967420
09.03.2020;Тюменская область;0;1;1;1;0;0;1;5995116
09.03.2020;Удмуртская Республика;0;0;0;0;0;0;0;6052176
09.03.2020;Ульяновская область;0;0;0;0;0;0;0;4986472
09.03.2020;Хабаровский край;0;0;0;0;0;0;0;5313208
09.03.2020;Ханты-Мансийский автономный округ - Югра;0;0;0;0;0;0;0;6620296
09.03.2020;Челябинская область;0;0;0;0;0;0;0;13972144
09.03.2020;Чеченская Республика;0;0;0;0;0;0;0;5747924
09.03.2020;Чувашская Республика;0;0;0;0;0;0;0;4924468
09.03.2020;Ямало-Ненецкий автономный округ;0;0;0;0;0;0;0;2154188
09.03.2020;Ярославская область;0;0;0;0;0;0;0;5062736
16.03.2020;Алтайский край;0;0;0;0;0;0;0;16450560
16.03.2020;Амурская область;0;0;0;0;0;0;0;5588968
16.03.2020;Архангельская область;7;7;0;0;0;0;2;7777217
16.03.2020;Астраханская область;0;0;0;0;0;0;0;7122598
16.03.2020;Белгородская область;7;7;0;0;0;0;0;10849132
16.03.2020;Брянская область;1;1;0;0;0;0;1;8476874
16.03.2020;Владимирская область;0;0;0;0;0;0;0;9648359
16.03.2020;Волгоградская область;0;0;0;0;0;0;0;17648932
16.03.2020;Вологодская область;0;0;0;0;0;0;0;8236823
